SYMBOL,PERIOD_END,PERIOD_TYPE,SALES,PAT,EPS,ROE_PCT,ROCE_PCT,OPERATING_MARGIN_PCT,NET_MARGIN_PCT,CASH_FLOW_FROM_OPS,TOTAL_ASSETS,CURRENT_ASSETS,CURRENT_LIABILITIES,TOTAL_DEBT,TOTAL_EQUITY,INTEREST_EXPENSE,EBIT
RELIANCE,2025-03-31,QUARTERLY,261388.00,19407.00,12.54,9.80,8.30,,7.43,,1950121.00,,,,795069.00,24269.00,130286.00
TCS,2025-03-31,QUARTERLY,64479.00,12224.00,33.79,51.50,69.80,24.20,19.00,,159629.00,123000.00,53001.00,0.00,94756.00,,15601.00
INFY,2025-03-31,QUARTERLY,40928.00,7033.00,16.98,29.40,,,17.18,,149619.00,96418.00,42850.00,0.00,95818.00,,
HDFCBANK,2025-03-31,QUARTERLY,32065.80,17616.00,,14.40,,,,,,,,,,,
ICICIBANK,2025-03-31,QUARTERLY,21193.00,12630.00,17.87,19.00,,,,,,,,,,,
ESCORTS,2025-03-31,QUARTERLY,2445.00,297.50,,,,,,,13100.00,,,2.25,10360.00,,
BEML,2025-03-31,QUARTERLY,750.00,45.00,,,,,,,,,,,,,
ACE,2025-03-31,QUARTERLY,550.00,55.00,,,,,,,,,,,,,
ZOMATO,2025-03-31,QUARTERLY,5000.00,200.00,,,,,,,,,,,,,
RELIANCE,2024-03-31,QUARTERLY,240715.00,18951.00,,,,,,,,,,,,,
TCS,2024-03-31,QUARTERLY,61237.00,12434.00,,,,26.00,20.30,,,,,,,,
INFY,2024-03-31,QUARTERLY,37923.00,7969.00,19.25,,,20.10,,,,,,,,,
HDFCBANK,2024-03-31,QUARTERLY,29080.00,16511.85,23.20,,,,,,,,,,,,
ICICIBANK,2024-03-31,QUARTERLY,19093.00,10707.53,16.63,,,,,,,,,,,,
ESCORTS,2024-03-31,QUARTERLY,2093.53,251.89,,,,,,,,,,,,,
HINDUNILVR,2025-03-31,QUARTERLY,15670.00,2464.00,10.48,,,23.10,15.72,,,,,,,,
ITC,2025-03-31,QUARTERLY,18765.00,19727.00,15.76,,,,,,,,,,,,
SUNPHARMA,2025-03-31,QUARTERLY,12958.80,2153.90,8.98,,,28.70,16.62,,,,,,,,
MARUTI,2025-03-31,QUARTERLY,40920.00,3911.00,122.69,15.00,19.00,12.00,9.56,,125620.00,,,76.00,94047.00,,
M&M,2025-03-31,QUARTERLY,42599.00,3295.00,26.50,20.30,14.00,19.00,7.74,,277586.30,126573.30,90322.00,129521.20,89098.00,9083.00,
TATASTEEL,2025-03-31,QUARTERLY,56218.00,1201.00,1.04,11.70,9.00,12.00,2.14,,279394.80,68391.50,86093.60,94801.10,91352.80,7341.00,
ULTRACEMCO,2025-03-31,QUARTERLY,23063.00,2482.00,,11.10,11.00,20.00,10.76,,133697.20,23737.20,32365.00,24102.20,73893.40,1651.00,
BHARTIARTL,2025-03-31,QUARTERLY,47876.00,12476.00,19.33,20.00,13.00,56.00,26.06,,514360.40,67588.80,180440.20,213642.10,153467.70,21754.00,
NTPC,2025-03-31,QUARTERLY,49833.70,7611.22,7.85,14.00,8.33,30.00,15.28,,523497.00,93051.70,101073.20,250096.00,184071.00,13282.00,62881.00
ASIANPAINT,2025-03-31,QUARTERLY,8358.90,692.10,7.22,,,17.00,8.28,,30371.00,16992.00,8141.00,2290.00,19400.00,227.00,5330.00
LT,2025-03-31,QUARTERLY,74392.00,5497.00,39.97,16.00,15.00,13.00,7.39,,379114.00,245342.00,201971.00,132409.00,97656.00,9925.00,33504.00
SBIN,2025-03-31,QUARTERLY,143876.00,18643.00,20.89,,,,,,,,,,,,
