Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price,Remarks
28-JUL-2026,AASTHA,Aastha Spintex Limited,D3 STOCK VISION LLP,BUY,222230,83.00,-
28-JUL-2026,AASTHA,Aastha Spintex Limited,RATHOD DIGVIJAYSINH RAJENDRASINH,BUY,300000,96.82,-
28-JUL-2026,AASTHA,Aastha Spintex Limited,MICROCURVES TRADING PRIVATE LIMITED,BUY,305625,88.24,-
28-JUL-2026,AASTHA,Aastha Spintex Limited,DHWAJA SHARES & SECURITIES PVT LTD,BUY,709151,93.96,-
28-JUL-2026,AASTHA,Aastha Spintex Limited,PRRSAAR COMMODITIES PVT LTD,BUY,306411,90.13,-
28-JUL-2026,AASTHA,Aastha Spintex Limited,L7 HITECH PRIVATE LIMITED,BUY,875000,93.68,-
28-JUL-2026,AASTHA,Aastha Spintex Limited,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,BUY,400057,82.02,-
28-JUL-2026,AASTHA,Aastha Spintex Limited,QE SECURITIES LLP,BUY,637081,90.27,-
28-JUL-2026,AASTHA,Aastha Spintex Limited,HRTI PRIVATE LIMITED,BUY,559868,87.70,-
28-JUL-2026,AASTHA,Aastha Spintex Limited,MATHISYS QUANTCAP LLP,BUY,536289,90.83,-
28-JUL-2026,AASTHA,Aastha Spintex Limited,JAGID VANITABEN RAJENDRAPRASAD,BUY,3477529,87.99,-
28-JUL-2026,AASTHA,Aastha Spintex Limited,RIDDHI SIDDHI INTERNATIONAL,BUY,515271,81.90,-
28-JUL-2026,AASTHA,Aastha Spintex Limited,MATALIA STOCK BROKING PRIVATE LIMITED,BUY,254512,88.20,-
28-JUL-2026,AGARIND,Agarwal Inds Corp Ltd.,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,BUY,84994,533.78,-
28-JUL-2026,AGARIND,Agarwal Inds Corp Ltd.,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,198940,535.88,-
28-JUL-2026,AGARIND,Agarwal Inds Corp Ltd.,GRT STRATEGIC VENTURES LLP,BUY,104304,537.30,-
28-JUL-2026,AGARIND,Agarwal Inds Corp Ltd.,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,94446,532.76,-
28-JUL-2026,AGARIND,Agarwal Inds Corp Ltd.,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,BUY,81473,545.62,-
28-JUL-2026,AGARIND,Agarwal Inds Corp Ltd.,DIPAN MEHTA COMMODITIES PRIVATE LIMITED,BUY,109748,533.90,-
28-JUL-2026,AQYLON,Aqylon Nexus Limited,PINE OAK GLOBAL FUND,BUY,2500000,25.19,-
