SYMBOL,PERIOD_END,PROMOTER_PCT,FII_PCT,DII_PCT,MF_PCT,PUBLIC_PCT
RELIANCE,2026-06-30,50.48,17.19,21.04,10.11,11.29
RELIANCE,2026-03-31,50.01,18.67,20.46,,10.63
TCS,2026-06-30,71.77,9.66,13.41,,5.16
INFY,2025-12-31,13.30,36.30,37.90,,12.60
HDFCBANK,2026-04-30,0.00,44.05,3.56,,15.65
ICICIBANK,2026-06-30,0.00,34.48,4.18,,7.40
ESCORTS,2026-06-30,68.00,6.40,10.60,,13.30
BEML,2026-06-30,54.03,8.50,20.00,,17.47
ACE,2026-06-30,57.59,5.00,8.00,,29.41
ZOMATO,2026-06-30,0.00,45.00,15.00,,40.00
HINDUNILVR,2026-06-30,61.90,9.50,16.92,,11.60
ITC,2025-03-31,0.00,14.42,45.19,12.87,14.95
SUNPHARMA,2025-03-31,54.50,18.00,18.70,12.21,8.90
MARUTI,2025-03-31,58.28,14.98,23.45,15.54,3.10
M&M,2026-06-30,18.45,34.89,32.70,18.15,10.47
TATASTEEL,2026-06-30,32.94,18.90,27.10,14.71,21.05
ULTRACEMCO,2026-06-30,59.33,12.36,20.20,15.98,7.92
BHARTIARTL,2026-06-30,48.87,27.13,21.30,12.14,2.69
NTPC,2026-06-30,51.10,16.30,29.42,17.40,3.14
ASIANPAINT,2025-03-31,52.63,12.23,15.51,,19.51
LT,2025-03-31,0.00,19.80,42.85,19.94,37.28
SBIN,2025-03-31,57.43,9.94,25.01,12.16,7.54
